@RELATION realfile

@ATTRIBUTE weight {100_BEG,40_END,40_MID,50_BEG,50_END,50_MID,60_BEG,60_END,60_MID,70_BEG,70_MID,77_END,80_BEG,80_END,80_MID,90_BEG,90_END,90_MID}
@ATTRIBUTE age {fifty,fourty,sixty,teen,thirty,twenty}
@ATTRIBUTE height {140_END,150_BEG,150_END,150_MID,160_BEG,160_END,160_MID,170_BEG,170_END,170_MID,180_BEG,180_MID}
@ATTRIBUTE size {L,M,S,XL,XS,XXL}

@DATA
60_BEG,thirty,170_BEG,XL
60_BEG,thirty,170_BEG,XXL
60_BEG,sixty,150_MID,M
60_BEG,twenty,160_BEG,L
60_BEG,twenty,160_BEG,L
60_BEG,twenty,160_BEG,L
60_BEG,thirty,160_MID,XL
60_BEG,thirty,150_END,M
60_BEG,thirty,170_BEG,M
60_BEG,thirty,170_MID,M
60_BEG,thirty,150_MID,M
60_BEG,thirty,160_BEG,L
60_BEG,thirty,160_BEG,L
60_BEG,fourty,160_BEG,L
60_BEG,fourty,160_BEG,L
60_BEG,thirty,170_BEG,XXL
60_BEG,thirty,160_MID,L
60_END,thirty,160_BEG,L
60_END,twenty,170_MID,XXL
60_END,twenty,160_END,XL
60_END,thirty,160_BEG,L
60_END,fourty,160_MID,XL
60_END,fourty,160_END,XL
60_END,twenty,160_BEG,L
60_END,fourty,160_BEG,L
60_END,thirty,170_BEG,XL
60_END,thirty,160_END,XL
60_END,thirty,170_BEG,XL
60_END,fourty,180_BEG,XL
60_END,twenty,160_BEG,XL
60_END,thirty,170_BEG,XL
60_END,fourty,170_MID,XL
60_MID,thirty,180_BEG,XXL
60_MID,thirty,170_MID,XL
60_MID,thirty,170_MID,XL
60_MID,twenty,170_MID,XL
60_MID,twenty,160_MID,L
60_MID,thirty,160_MID,L
60_MID,twenty,170_BEG,L
60_MID,twenty,170_BEG,L
60_MID,thirty,170_BEG,L
60_MID,thirty,160_MID,L
60_MID,thirty,160_END,L
60_MID,thirty,160_BEG,L
60_MID,twenty,160_MID,L
60_MID,thirty,160_BEG,M
60_MID,thirty,160_END,L
60_MID,fourty,170_BEG,L
60_MID,thirty,160_END,L
60_MID,twenty,170_BEG,L
60_MID,thirty,170_BEG,L
60_MID,fourty,170_BEG,L
60_MID,twenty,160_END,L
60_MID,twenty,180_BEG,XXL
60_MID,thirty,170_END,XL
60_MID,fifty,160_BEG,XL
60_MID,fifty,150_BEG,L
60_MID,fourty,160_BEG,L
60_MID,twenty,170_BEG,L
60_MID,twenty,170_MID,L
60_MID,fourty,160_BEG,L
60_MID,thirty,170_MID,L
60_MID,fifty,170_BEG,L
70_BEG,thirty,160_BEG,XXL
70_BEG,twenty,180_BEG,XL
70_BEG,twenty,160_MID,XXL
70_BEG,twenty,160_BEG,XXL
70_BEG,thirty,170_MID,XL
70_BEG,thirty,160_END,XXL
70_BEG,twenty,140_END,L
70_BEG,twenty,150_MID,L
70_BEG,thirty,170_END,XL
70_BEG,twenty,170_BEG,XL
70_BEG,thirty,170_BEG,XL
70_BEG,fifty,170_BEG,XL
70_BEG,fourty,170_MID,XL
70_BEG,fifty,170_BEG,XL
70_BEG,twenty,160_END,XXL
70_BEG,thirty,160_END,XXL
70_BEG,thirty,170_MID,XL
70_BEG,thirty,160_BEG,XXL
70_BEG,fourty,170_MID,XL
70_BEG,fourty,150_END,L
70_BEG,fourty,160_MID,XXL
70_BEG,twenty,160_BEG,XXL
70_MID,twenty,170_END,XL
70_MID,thirty,170_BEG,XL
70_MID,fifty,150_END,L
